
지점,시작일,종료일,지점명,지점주소,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
102,2018-05-01,,백령도,,백령도기상대(102),37.974,124.7124,36,,,,
102,2015-06-17,2018-05-01,백령도,인천광역시 옹진군 백령면 연화리,백령도기상대(102),37.9661,124.6305,146,,,9.400,
102,2000-11-01,2018-05-01,백령도,인천광역시 옹진군 백령면 연화리,백령도기상대(102),37.9661,124.6305,146,147.200,1.800,9.000,1.200
102,2003-03-22,2018-05-01,백령도,,백령도기상대(102),37.9661,124.6305,144.86,,,,
102,2000-01-31,2015-06-17,백령,인천광역시 옹진군 백령면 연화리,백령도기상대(102),37.9661,124.6305,144.86,,,9.400,
104,2008-07-28,,북강릉,강원특별자치도 강릉시 사천면 방동리,강릉(구 105),37.8046,128.8554,75.24,76.670,1.700,10.000,1.400
105,1911-10-03,,강릉,강원특별자치도 강릉시 용강동,강릉(구 105),37.7515,128.891,27.12,28.220,1.700,10.000,0.500
106,1992-05-01,,동해,강원특별자치도 동해시 용정동,동해기상대(106),37.5071,129.1243,40.46,41.660,1.700,10.000,1.400
108,2010-08-16,,서울,,,37.5714,126.9658,85.8,,,,
108,1907-10-01,2010-08-16,서울,서울특별시 종로구 송월동,서울기상관측소(108),37.5714,126.9658,85.5,86.500,1.500,10.000,0.600
108,2008-04-25,2010-08-15,서울,,,37.5714,126.9658,85.5,,,,
110,1961-01-01,,김포공항,서울특별시 강서구 공항동,,37.5569,126.7975,11.38,10.100,1.500,10.000,0.200
112,2013-10-22,,인천,인천광역시 중구 전동,인천기상대(112),37.4777,126.6249,68.99,70.190,1.600,10.000,1.200
112,1904-08-29,2013-10-22,인천,인천광역시 중구 전동,인천기상대(112),37.4776,126.6244,68.15,70.150,1.500,10.000,0.600
113,2000-09-01,,인천공항,인천광역시 중구 운서동,,37.4625,126.4392,7.1,6.000,1.500,10.000,1.100
114,1971-09-06,,원주,강원특별자치도 원주시 명륜동,원주기상대(114),37.3375,127.9466,150.11,151.110,1.700,14.000,1.400
115,2012-01-01,,울릉도독도(감),,,37.4813,130.8986,222.8,,,,
115,1938-08-10,,울릉도,경상북도 울릉군 울릉읍 도동리,울릉도기상대(115),37.4813,130.8986,221.14,223.700,1.600,10.000,1.300
115,2016-03-01,,울릉도독도(감),,울릉도기상대(115),37.480,130.900,220.9,,,,
115,2004-05-19,2016-03-01,울릉도,,울릉도기상대(115),37.4813,130.8986,222.8,,,,
116,2010-08-06,,관악산,,,37.4453,126.964,622.38,,,,
116,2023-10-21,,관악(레),경기도 과천시 중앙동,,37.4453,126.964,624.82,,,4.000,
116,2010-08-06,2023-10-21,관악(레),경기도 과천시 중앙동,,37.4453,126.964,624.82,,,,
116,1993-11-10,2010-08-06,관악(레),경기도 과천시 중앙동,,37.4433,126.967,634,,,,
116,2003-03-21,2010-08-05,관악산,,,37.4442,126.9639,626.76,,,,
116,1984-01-01,1990-12-31,관악산,서울특별시,,37.4442,126.9639,626.76,627.960,1.400,3.900,1.100
119,1964-01-01,,수원(농),,,37.2695,126.9875,33.6,,,,
119,2008-04-25,,수원,,,37.2723,126.9853,34.06,,,,
119,2019-07-24,,수원,경기도 수원시권선구 고색동,,37.2575,126.983,39.81,40.810,1.600,18.700,1.100
119,1964-01-01,2019-07-24,수원,경기도 수원시권선구 서둔동,수도권기상청(119),37.2723,126.9853,34.84,35.840,1.600,18.700,1.100
121,1994-12-01,,영월,강원특별자치도 영월군 영월읍 하송리,영월기상대(121),37.1813,128.4574,240.54,242.050,1.700,10.000,1.400
121,2007-01-31,,영월,,춘천기상대(101),37.1813,128.4574,240.6,,,,
127,1972-01-01,,충주,충청북도 충주시 안림동,청주기상대(131),36.9705,127.9525,114.85,116.250,1.650,10.000,1.000
129,1968-01-01,,서산,충청남도 서산시 수석동,홍성기상대(서산 129),36.7766,126.4939,25.25,26.550,1.600,20.200,1.100
129,1983-01-01,,서산(농),,,36.7737,126.4959,25.93,,,,
130,2020-12-04,,울진,경상북도 울진군 울진읍 연지리,안동기상대(136),36.9918,129.4128,48.98,50.180,1.750,10.000,1.300
130,2010-10-28,,울진,,안동기상대(136),36.9918,129.4128,50,,,,
130,1971-01-12,2020-12-04,울진,경상북도 울진군 울진읍 연지리,대구(구 143),36.9918,129.4128,48.98,50.180,1.750,10.000,1.300
131,1967-01-01,,청주,충청북도 청주시흥덕구 복대동,청주기상대(131),36.6392,127.4407,58.7,60.100,1.700,10.000,0.800
132,1999-02-08,,안면도(감),,,36.540,126.330,47,,,,
132,2016-03-01,,안면도(감),,,36.5383,126.330,45.7,,,,
132,2003-03-21,2016-03-01,안면센터,,,36.5383,126.330,45.7,,,,
133,1969-01-01,,대전,대전광역시 유성구 구성동,대전지방기상청(133),36.372,127.3721,67.79,68.490,1.400,23.700,1.000
135,1937-01-11,,추풍령,충청북도 영동군 추풍령면 관리,청주기상대(131),36.2203,127.9946,244.98,246.180,1.600,10.000,1.100
135,2004-05-19,,추풍령,,청주기상대(131),36.2202,127.9946,244.73,,,,
136,2007-01-31,,안동,,안동기상대(136),36.5729,128.7073,140.1,,,,
136,1983-01-01,,안동,경상북도 안동시 운안동,안동기상대(136),36.5729,128.7073,141.26,142.760,1.800,10.000,1.300
136,2015-12-20,,안동,경상북도 안동시 운안동,안동기상대(136),36.5729,128.7073,141.26,,,10.000,
136,1998-12-24,2015-12-20,안동,경상북도 안동시 운안동,안동기상대(136),36.5729,128.7073,140.1,,,10.000,
136,1973-01-01,1978-05-01,안동,경상북도 안동시 운안동,,36.573,128.7073,139.39,141.400,1.500,10.000,0.600
137,2002-01-01,,상주,경상북도 상주시 낙양동,대구(구 143),36.4084,128.1574,96.58,97.980,1.800,10.000,1.400
138,1943-01-01,,포항,경상북도 포항시남구 송도동,포항기상대(138),36.032,129.380,3.94,4.920,1.600,10.000,1.200
140,2007-01-01,,군산,,전주기상대(146),36.0053,126.7614,23.2,,,,
140,2003-12-31,,군산,전북특별자치도 군산시 금동,전주기상대(146),36.0053,126.7614,27.85,24.600,1.700,10.000,1.000
140,1968-01-01,2003-12-01,군산,전라북도 군산시 금동,,35.993,126.7057,25.57,30.740,1.500,18.000,0.600
143,2007-01-31,,대구,,대구(구 143),35.8852,128.619,64.08,,,,
143,2017-08-25,,대구,대구광역시 동구 효목동,대구(구 143),35.878,128.653,54.27,55.520,1.800,10.000,0.600
143,1907-01-31,2017-08-25,대구,대구광역시 동구 효목동,대구(구 143),35.8282,128.6522,53.4,54.900,1.800,10.000,0.600
144,1993-03-16,2011-12-09,군산(레),전라북도 군산시 성산면 성덕리,군산기상대(140),36.0123,126.7834,198.61,,,,
144,2003-03-21,2006-12-27,오성산,,,36.0127,126.7839,227.41,,,,
146,2015-07-01,,전주,전북특별자치도 전주시 덕진구 덕진동2가,전주기상대(146),35.8409,127.1172,60.44,62.900,1.600,10.000,1.400
146,2008-04-28,,전주,,전주기상대(146),35.8215,127.155,53.4,,,,
146,1918-06-23,2015-07-01,전주,전라북도 전주시완산구 남노송동,전주기상대(146),35.8215,127.155,53.4,62.400,1.800,18.400,0.600
151,1985-01-01,,울산공항,울산광역시 북구 송정동,,35.5933,129.3522,12.6,8.400,2.000,10.000,0.600
152,2017-08-25,,울산,울산광역시 중구 약사동,울산기상대(152),35.5824,129.3347,81.14,83.200,1.800,10.000,1.300
152,2016-04-01,,울산,,울산기상대(152),35.5826,129.3344,82,,,,
152,2016-04-01,2017-08-25,울산,울산광역시 중구 서동,울산기상대(152),35.5826,129.3344,82,83.200,1.800,10.000,0.600
152,1932-01-06,2016-04-01,울산,울산광역시 중구 북정동,울산기상대(152),35.5601,129.3203,34.57,35.800,1.500,12.000,0.500
152,2008-04-30,2016-04-01,울산,,울산기상대(152),35.5601,129.3203,34.57,,,,
155,2010-07-22,,창원,경상남도 창원시 마산합포구 가포동,창원기상대(155),35.1702,128.5728,34.97,39.100,1.700,10.000,1.300
155,2004-12-16,2010-07-22,마산,경상남도 창원시 마산합포구 가포동,,35.1671,128.5751,36.8,37.900,1.700,10.000,0.500
155,1985-07-01,2004-12-16,마산,경상남도 창원시 마산합포구 월포동,,35.1903,128.5652,11.25,4.900,1.500,17.600,0.600
156,1939-05-01,,광주,광주광역시 북구 운암동,광주지방기상청(156),35.1729,126.8916,70.28,73.900,1.700,17.500,0.800
156,2004-01-27,,광주,,광주지방기상청(156),35.1729,126.8916,72.38,,,,
159,1904-04-09,,부산,부산광역시 중구 대청동1가,부산지방기상청(159),35.1047,129.032,69.56,70.900,1.500,18.000,1.300
160,2005-05-12,,구덕산,,부산지방기상청(159),35.1188,129.000,518.46,,,,
160,2025-09-17,,부산(레),부산광역시 서구 서대신동3가,부산지방기상청(159),35.1188,129.000,512,,,10.000,
160,2020-10-23,2025-09-17,부산(레),부산광역시 서구 서대신동3가,부산지방기상청(159),35.1188,129.000,512,,,,
160,1993-03-04,2020-10-23,부산(레),부산광역시 서구 서대신동3가,부산지방기상청(159),35.1188,129.000,518.46,,,,
162,1968-01-01,,통영,경상남도 통영시 정량동,부산지방기상청(159),34.8454,128.4356,31.24,33.200,1.500,18.000,1.300
163,2007-11-08,,무안공항,전라남도 무안군 망운면 피서리,,34.9914,126.3831,10.9,9.300,1.500,7.000,0.200
164,1993-01-01,2000-07-31,무안,전라남도,,35.0938,126.2851,24.49,25.030,1.500,12.600,0.600
165,2019-10-31,,목포,전라남도 목포시 연산동,목포기상대(165),34.8173,126.3815,44.7,39.200,1.500,14.500,1.000
165,1904-04-08,2019-10-31,목포,전라남도 목포시 연산동,목포기상대(165),34.8169,126.3812,38,39.200,1.500,14.500,1.000
167,1978-08-01,,여수공항,전라남도 여수시 율촌면 신풍리,,34.8467,127.6125,17.9,10.900,1.500,10.000,0.200
168,1942-03-01,,여수,전라남도 여수시 중앙동,여수기상대(168),34.7393,127.7406,65.93,66.100,1.500,13.000,0.600
169,1997-01-01,,흑산도,전라남도 신안군 흑산면 예리,흑산도기상대(169),34.6872,125.4511,75.12,78.000,1.500,15.500,0.600
169,2003-03-21,,흑산도,,흑산도기상대(169),34.6872,125.451,76.49,,,,
170,1971-01-31,,완도,전라남도 완도군 군외면 불목리,목포기상대(165),34.3959,126.7018,35.37,36.700,1.500,10.000,0.800
172,2010-12-01,,고창,전북특별자치도 고창군 대산면 매산리,전주기상대(146),35.3482,126.599,52.42,53.500,1.800,10.000,1.700
174,2011-04-01,,순천,전라남도 순천시 승주읍 평중리,광주지방기상청(156),35.0204,127.3694,165,166.500,1.500,10.000,0.800
175,2024-10-15,,진도(레),전라남도 진도군 의신면 사천리,목포기상대(165),34.4721,126.3238,478.51,,,10.000,
175,2020-04-29,2024-10-15,진도(레),전라남도 진도군 의신면 사천리,목포기상대(165),34.4721,126.3238,478.51,,,10.000,
175,2019-08-01,2020-04-29,진도(레),전라남도 진도군 의신면 사천리,목포기상대(165),34.4721,126.3238,478.51,,,10.000,
175,2001-11-03,2019-08-01,진도(첨찰산),전라남도 진도군 의신면 사천리,목포기상대(165),34.4721,126.3238,478.51,479.760,1.500,10.000,0.800
175,2015-12-16,2019-08-01,진도(첨찰산),전라남도 진도군 의신면 사천리,목포기상대(165),34.4721,126.3238,478.51,,,10.000,
175,2015-07-13,2015-12-16,진도(첨찰산),전라남도 진도군 의신면 사천리,목포기상대(165),34.4721,126.3238,476.47,,,10.000,
175,2008-04-30,2015-10-15,진도(첨찰산),,목포기상대(165),34.4721,126.3238,476.47,,,,
175,2001-10-31,2015-07-13,진도(첨찰산),전라남도 진도군 의신면 사천리,진도기상대(175),34.4721,126.3238,476.47,,,10.000,
176,2013-10-10,2015-06-11,대구(기),대구광역시 동구 효목동,대구기상대(176),35.8782,128.6522,49,50.200,1.800,10.000,0.600
177,2017-10-31,,홍성,충청남도 홍성군 광천읍 월림리,,36.6576,126.6877,27.74,28.700,1.500,10.000,1.500
177,2015-11-03,2017-10-31,홍성(예),충청남도 홍성군 광천읍 월림리,홍성기상대(서산 129),36.6575,126.6877,20,,,10.000,
181,2023-05-01,,서청주,충청북도 청주시흥덕구 강내면 학천리,청주기상대(131),36.6399,127.3846,33.55,33.550,1.500,10.000,0.500
181,2022-01-21,2023-05-01,서청주(예),,청주기상대(131),36.6397,127.3969,32,32.000,1.500,10.000,0.500
182,1965-11-01,,제주공항,제주특별자치도 제주시 용담이동,,33.5167,126.500,26.5,24.440,2.000,10.000,0.500
184,1923-05-01,,제주,제주특별자치도 제주시 건입동,제주지방기상청(184),33.5141,126.5297,20.79,21.990,1.700,15.000,1.500
185,2003-03-21,,고산,,제주지방기상청(184),33.2938,126.1628,74.29,,,,
185,1988-01-01,,고산,제주특별자치도 제주시 한경면 고산리,제주지방기상청(184),33.2938,126.1628,71.39,72.490,1.700,10.000,1.500
185,1999-04-01,2013-02-05,고산(감),,,33.2938,126.1628,74.29,,,,
187,2007-03-27,2008-09-04,성산,제주특별자치도 서귀포시 성산읍 신산리,,33.3868,126.8804,18,20.480,1.800,10.200,0.600
188,2008-09-04,,성산,제주특별자치도 서귀포시 성산읍 신산리,제주지방기상청(184),33.3868,126.8802,20.34,21.740,1.700,10.000,1.500
188,1971-07-15,2008-09-04,성산,제주특별자치도 서귀포시 성산읍 신산리,성산지역기상서비스센터(188),33.3868,126.8804,18.4,20.100,1.500,10.000,0.600
189,2010-11-09,,서귀포,제주특별자치도 서귀포시 서귀동,제주지방기상청(184),33.2462,126.5653,51.86,53.160,1.700,10.000,1.500
189,1961-01-01,2010-11-09,서귀포,제주특별자치도 서귀포시 서귀동,서귀포지역기상서비스센터(189),33.2461,126.5653,50.4,51.600,1.800,10.000,0.600
192,2007-01-31,,진주,,창원기상대(155),35.1638,128.040,30.21,,,,
192,2005-11-23,,진주,경상남도 진주시 평거동,창원기상대(155),35.1638,128.040,29.35,31.600,1.800,10.000,1.300
192,1969-03-01,2005-11-23,진주,경상남도 진주시 초전동,,35.2084,128.1191,21.32,22.640,1.500,10.000,0.600
201,2004-02-07,,강화,,인천기상대(112),37.7074,126.4463,47.01,,,,
201,1972-01-11,,강화,인천광역시 강화군 불은면 삼성리,인천기상대(112),37.7074,126.4463,47.84,49.240,1.600,10.000,0.600
202,1972-01-11,,양평,경기도 양평군 양평읍 양근리,수도권기상청(119),37.4886,127.4945,47.26,48.760,1.900,10.000,0.600
203,1972-01-11,,이천,경기도 이천시 부발읍 신하리,수도권기상청(119),37.264,127.4842,80.09,81.590,1.800,10.000,0.600
211,2025-07-30,,인제,강원특별자치도 인제군 인제읍 남북리,강릉(구 105),38.0599,128.1681,202,203.000,1.500,10.000,0.500
211,1971-12-01,2025-07-30,인제,강원특별자치도 인제군 인제읍 남북리,인제자동기상관측소(211),38.0599,128.1671,201.78,202.780,1.500,10.000,0.500
212,1971-09-27,,홍천,강원특별자치도 홍천군 홍천읍 연봉리,춘천기상대(101),37.6836,127.8804,140.2,141.200,1.600,13.000,0.500
214,1971-02-28,1996-01-01,삼척,강원특별자치도,,37.3667,129.2167,3.9,5.400,1.500,10.000,0.600
216,1985-08-01,,태백,(산지)강원특별자치도 태백시 황지동,태백자동기상관측소(216),37.1704,128.9893,714.45,715.250,1.600,16.000,0.600
217,2025-12-17,,정선군,강원특별자치도 정선군 정선읍 애산리,강릉(구 105),37.3807,128.6731,312,312.000,1.500,10.000,0.500
217,2023-07-01,2025-12-17,정선군,강원특별자치도 정선군 정선읍 애산리,강릉(구 105),37.3773,128.6735,312,312.000,1.500,10.000,0.500
217,2010-08-06,2023-07-01,정선군,강원특별자치도 정선군 정선읍 북실리,,37.3815,128.6459,307.58,309.000,1.800,10.000,0.600
221,1972-01-11,,제천,충청북도 제천시 신월동,청주기상대(131),37.1593,128.1943,264.62,265.390,1.500,10.000,0.500
226,1972-01-09,,보은,충청북도 보은군 보은읍 성주리,청주기상대(131),36.4876,127.7342,171.31,172.710,1.500,10.000,0.500
229,2024-10-15,,북격렬비도,충청남도 태안군 근흥면 가의도리,대전지방기상청(133),36.6254,125.5595,104.81,,,6.700,
229,2017-09-08,,북격렬비도,,대전지방기상청(133),36.6254,125.5595,103.56,,,,
229,2020-10-23,2024-10-15,북격렬비도,충청남도 태안군 근흥면 가의도리,대전지방기상청(133),36.6254,125.5595,104.81,,,,
229,2017-09-08,2020-10-23,북격렬비도,충청남도 태안군 근흥면 가의도리,대전지방기상청(133),36.6254,125.5595,103.56,,,,
229,2005-03-16,2017-09-08,격렬,충청남도 태안군 근흥면 가의도리,대전지방기상청(133),36.6254,125.5595,103.56,,,,
229,2005-02-25,2017-09-08,격렬비도,,대전지방기상청(133),36.6254,125.5595,103.56,,,,
230,2021-11-06,,덕적북리,인천광역시 옹진군 덕적면 북리,인천기상대(112),37.2645,126.103,12,,,10.000,
232,2016-04-01,,천안,,대전지방기상청(133),36.7624,127.2927,81.5,,,,
232,2004-05-18,2016-04-01,천안,,대전지방기상청(133),36.7796,127.1191,21.3,,,,
232,1972-01-08,2016-04-01,천안,충청남도 천안시 동남구 신방동,천안지역기상서비스센터(232),36.7796,127.1213,21.3,22.600,1.800,9.500,0.600
235,1972-01-24,,보령,충청남도 보령시 요암동,대전지방기상청(133),36.3272,126.5574,9.98,17.000,1.600,10.000,1.100
236,1972-01-09,,부여,충청남도 부여군 부여읍 가탑리,대전지방기상청(133),36.2724,126.9208,13.42,14.880,1.700,10.000,0.500
238,1972-01-09,,금산,충청남도 금산군 금산읍 아인리,대전지방기상청(133),36.1056,127.4818,170.17,171.070,1.500,10.000,0.500
239,2020-04-01,,세종,세종특별자치시 새롬동,대전지방기상청(133),36.4852,127.2444,89.5,95.000,1.600,10.000,1.000
239,2019-05-31,2020-04-01,세종(예),세종특별자치시 새롬동,대전지방기상청(133),36.4864,127.235,94,95.000,1.600,10.000,1.000
243,1972-03-01,,부안,전북특별자치도 부안군 행안면 역리,전주기상대(146),35.7296,126.7166,12.2,13.500,1.800,10.000,0.600
244,1970-06-02,,임실,전북특별자치도 임실군 임실읍 이도리,전주기상대(146),35.612,127.2856,247.04,248.440,1.800,10.000,0.600
245,2016-11-01,,정읍,전북특별자치도 정읍시 상평동,전주기상대(146),35.5634,126.839,68.7,70.970,1.900,10.000,1.000
245,1970-01-05,2016-11-01,정읍,전라북도 정읍시 상동,전주기상대(146),35.5632,126.8661,44.6,46.100,1.700,10.000,0.600
247,2017-08-25,,남원,전북특별자치도 남원시 도통동,전주기상대(146),35.4213,127.3965,133.49,91.800,1.700,10.000,0.700
247,2013-08-01,2017-08-25,남원,전라북도 남원시 도통동,전주기상대(146),35.4023,127.3967,127.48,91.800,1.700,10.000,0.700
247,1972-01-04,2013-08-01,남원,전라북도 남원시 대산면 수덕리,남원기상대(247),35.4054,127.333,90.29,94.700,1.800,10.000,0.600
248,1988-01-01,,장수,전북특별자치도 장수군 장수읍 선창리,전주기상대(146),35.657,127.5203,406.87,408.000,1.600,10.000,0.500
251,2010-12-01,,고창군,전북특별자치도 고창군 고창읍 덕산리,전주기상대(146),35.4266,126.697,58.84,55.500,1.700,10.000,0.600
251,2008-11-28,2010-12-01,고창,전라북도 고창군 고창읍 덕산리,고창기상대(미사용 251),35.4266,126.697,54,55.300,1.800,10.000,0.700
251,2007-11-01,2008-11-28,고창,전라북도 고창군 고창읍 읍내리,고창기상대(미사용 251),35.4251,126.699,54.02,55.320,1.500,10.000,0.500
252,2007-11-26,,영광군,전라남도 영광군 군서면 만곡리,광주지방기상청(156),35.2837,126.4778,37.2,38.700,1.500,13.000,0.600
253,2008-02-13,,김해시,경상남도 김해시 부원동,부산지방기상청(159),35.2298,128.8908,54.59,54.600,1.700,10.000,0.500
254,2008-07-16,,순창군,전북특별자치도 순창군 순창읍 교성리,전주기상대(146),35.3713,127.1286,129.38,128.400,1.600,10.000,0.600
255,2010-07-22,,북창원,경상남도 창원시 성산구 내동,창원기상대(155),35.2266,128.6726,50.95,50.300,1.800,10.000,0.700
255,2008-12-26,2010-07-22,창원시,경상남도 창원시 성산구 내동,,35.2264,128.6725,46.77,48.120,1.800,10.000,0.600
256,2011-04-01,2012-07-02,주암,전라남도 순천시 주암면 구산리,순천기상대(174),35.075,127.2391,74.63,75.400,1.500,14.000,0.600
256,1972-01-21,2011-04-01,순천,전라남도 순천시 주암면 구산리,순천기상대(미사용 256),35.075,127.2391,74.4,75.400,1.500,14.000,0.600
257,2008-12-26,,양산시,경상남도 양산시 동면 금산리,울산기상대(152),35.3074,129.0201,6.29,16.100,1.800,10.000,0.600
258,2010-03-11,,보성군,전라남도 보성군 득량면 예당리,여수기상대(168),34.7634,127.2123,1.41,4.300,1.500,10.000,0.600
258,1983-01-01,,보성군(농),,,34.7634,127.2123,1.41,,,,
258,2010-02-08,2010-03-11,보성군,전라남도 보성군 득량면 예당리,여수기상대(168),34.7633,127.2123,2.8,,,,
259,2021-02-25,,강진군,전라남도 강진군 강진읍 남포리,목포기상대(165),34.6446,126.7841,16,20.000,1.500,10.000,0.600
259,2009-11-10,2021-02-25,강진군,전라남도 강진군 강진읍 남포리,목포기상대(165),34.6289,126.7672,9.95,13.900,1.500,10.000,0.600
260,1972-01-21,,장흥,전라남도 장흥군 장흥읍 축내리,목포기상대(165),34.6889,126.9195,43.99,46.300,1.500,10.000,0.800
261,1971-02-03,,해남,전라남도 해남군 해남읍 남천리,목포기상대(165),34.5538,126.5691,16.36,17.910,1.500,10.000,0.800
262,2017-08-25,,고흥,전라남도 고흥군 고흥읍 행정리,여수기상대(168),34.6183,127.2757,51.91,53.310,1.500,10.000,0.800
262,1972-01-22,2017-08-25,고흥,전라남도 고흥군 고흥읍 행정리,여수기상대(168),34.6182,127.2757,53.12,54.600,1.500,10.000,0.600
263,2010-06-21,,의령군,경상남도 의령군 의령읍 무전리,창원기상대(155),35.3226,128.2881,14.1,14.900,2.000,10.000,0.600
264,2010-06-21,,함양군,경상남도 함양군 함양읍 용평리,창원기상대(155),35.5114,127.7454,152.07,152.500,1.800,10.000,0.600
265,1971-07-15,2007-03-27,성산포,제주특별자치도 서귀포시 성산읍 신산리,,33.3868,126.8804,18.62,20.480,1.800,10.200,0.600
266,2017-08-25,,광양시,전라남도 광양시 중동,광주지방기상청(156),34.9434,127.6914,88.21,87.900,1.700,10.000,0.600
266,2011-01-01,2017-08-25,광양시,전라남도 광양시 중동,광주지방기상청(156),34.943,127.691,80.9,82.400,1.700,10.000,0.600
268,2014-05-09,,진도군,전라남도 진도군 진도읍 남동리,목포기상대(165),34.473,126.2585,9.82,6.900,1.700,10.000,0.600
269,2024-04-30,,안마도,전라남도 영광군 낙월면 월촌리,광주지방기상청(156),35.3469,126.0305,28,,,10.000,
269,2024-03-22,2024-04-30,안마도,전라남도 영광군 낙월면 월촌리,광주지방기상청(156),35.3469,126.0305,28,,,,
271,2020-12-04,,봉화,경상북도 봉화군 춘양면 의양리,안동기상대(136),36.9436,128.9145,324.67,326.220,1.900,10.000,0.600
271,1988-01-01,2020-12-04,봉화,경상북도 봉화군 춘양면 의양리,대구(구 143),36.9436,128.9145,324.67,326.220,1.900,10.000,0.600
272,1972-11-28,,영주,경상북도 영주시 풍기읍 성내리,안동기상대(136),36.8718,128.5169,211.32,212.780,1.910,10.000,0.580
273,2020-12-04,,문경,경상북도 문경시 유곡동,안동기상대(136),36.6273,128.1488,173.01,174.510,1.800,10.000,0.600
273,2015-12-29,,문경,,대구(구 143),36.6273,128.1488,170.61,,,,
273,1973-01-01,2020-12-04,문경,경상북도 문경시 유곡동,대구(구 143),36.6273,128.1488,173.01,174.510,1.800,10.000,0.600
